Date;Code INSEE région;Région;TMin (°C);TMax (°C);TMoy (°C)
2017-06-24;52;Pays de la Loire;13.3;25.6;19.45
2017-06-26;52;Pays de la Loire;15.3;29.05;22.17
2017-06-28;52;Pays de la Loire;15.85;24.6;20.23
2016-08-05;52;Pays de la Loire;12.45;24.6;18.52
2017-05-22;52;Pays de la Loire;11.9;27.05;19.48
2016-01-02;52;Pays de la Loire;8.15;11.6;9.88
2017-05-25;52;Pays de la Loire;14.95;28.9;21.92
2016-02-17;52;Pays de la Loire;-4.75;5.65;0.45
2017-05-27;52;Pays de la Loire;16.7;29.05;22.88
2016-08-13;52;Pays de la Loire;12.05;31.2;21.62
2016-01-06;52;Pays de la Loire;5.6;11.95;8.77
2017-07-09;52;Pays de la Loire;19.1;28.45;23.78
2017-05-31;52;Pays de la Loire;11.05;25.1;18.08
2016-08-16;52;Pays de la Loire;17.15;33.0;25.08
2016-01-13;52;Pays de la Loire;0.95;8.55;4.75
2016-02-29;52;Pays de la Loire;0.35;10.0;5.18
2017-07-13;52;Pays de la Loire;14.9;25.2;20.05
2016-08-22;52;Pays de la Loire;11.25;29.7;20.48
2016-03-01;52;Pays de la Loire;0.55;11.05;5.8
2016-01-16;52;Pays de la Loire;-1.7;8.25;3.28
2017-07-14;52;Pays de la Loire;13.4;24.65;19.02
2016-03-02;52;Pays de la Loire;5.65;11.25;8.45
2017-07-17;52;Pays de la Loire;16.75;32.15;24.45
2017-07-18;52;Pays de la Loire;21.3;34.55;27.92
2016-01-22;52;Pays de la Loire;1.9;11.45;6.68
2017-07-22;52;Pays de la Loire;14.2;22.9;18.55
2017-06-19;52;Pays de la Loire;19.85;36.0;27.92
2016-01-30;52;Pays de la Loire;8.85;11.85;10.35
2016-03-10;52;Pays de la Loire;5.25;9.7;7.48
2017-06-23;52;Pays de la Loire;16.35;24.85;20.6
2016-03-12;52;Pays de la Loire;0.05;12.3;6.18
2016-02-03;52;Pays de la Loire;4.95;10.0;7.48
2017-07-27;52;Pays de la Loire;16.6;22.8;19.7
2016-02-05;52;Pays de la Loire;9.7;11.3;10.5
2016-03-15;52;Pays de la Loire;1.85;13.25;7.55
2017-06-29;52;Pays de la Loire;12.7;20.75;16.73
2016-02-07;52;Pays de la Loire;5.45;12.5;8.98
2016-03-21;52;Pays de la Loire;2.05;12.05;7.05
2016-09-11;52;Pays de la Loire;16.6;25.35;20.98
