Années de comptage;Identifiant;Nom du lieu de comptage;Date complète;Date;Heure;Jour de la semaine;VAE;bicloo;Autres vélos;Total
2011;1003;Pont Audibert rive Nord;2011-09-22T17:30:00+02:00;2011-09-22;17:30:00;jeudi;1;26;301;328
2013;1001;Bd Kennedy devant le Chateau;2013-10-01T14:00:00+02:00;2013-10-01;14:00:00;mardi;2;17;65;84
2011;1003;Pont Audibert rive Nord;2011-09-22T14:00:00+02:00;2011-09-22;14:00:00;jeudi;2;11;106;119
2015;1002;Intersection de boulevards Michelet, Orrion et Orieux;2015-09-17T14:00:00+02:00;2015-09-17;14:00:00;jeudi;4;10;63;77
2013;1002;Intersection de boulevards Michelet, Orrion et Orieux;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;4;16;97;117
2011;1003;Pont Audibert rive Nord;2011-09-29T17:30:00+02:00;2011-09-29;17:30:00;jeudi;4;21;292;317
2020;1002;Intersection de boulevards Michelet, Orrion et Orieux;2020-09-17T17:30:00+02:00;2020-09-17;17:30:00;jeudi;9;4;236;249
2015;1004;Cours des 50 otages à l'intersection de la rue des halles;2015-09-24T17:30:00+02:00;2015-09-24;17:30:00;jeudi;19;83;446;548
2017;1004;Cours des 50 otages à l'intersection de la rue des halles;2017-09-28T14:00:00+02:00;2017-09-28;14:00:00;jeudi;21;29;269;319
2017;1003;Pont Audibert rive Nord;2017-09-28T17:30:00+02:00;2017-09-28;17:30:00;jeudi;22;55;434;511
2014;1004;Cours des 50 otages à l'intersection de la rue des halles;2014-09-25T17:30:00+02:00;2014-09-25;17:30:00;jeudi;25;108;455;588
2018;1004;Cours des 50 otages à l'intersection de la rue des halles;2018-09-27T17:30:00+02:00;2018-09-27;17:30:00;jeudi;26;47;628;701
2017;1002;Intersection de boulevards Michelet, Orrion et Orieux;2017-09-21T17:30:00+02:00;2017-09-21;17:30:00;jeudi;31;13;166;210
2017;1000;Quai de la Fosse;2017-09-21T14:00:00+02:00;2017-09-21;14:00:00;jeudi;32;30;241;303
2018;1003;Pont Audibert rive Nord;2018-09-20T14:00:00+02:00;2018-09-20;14:00:00;jeudi;39;16;244;299
2016;1000;Quai de la Fosse;2016-09-29T17:30:00+02:00;2016-09-29;17:30:00;jeudi;39;49;443;531
