Numéro de boucle;Libellé;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Probabilité de présence d'anomalies;Jour de la semaine
0981;Pont Tabarly vers Nord;2020-04-06;0;0;0;0;0;3;0;1;1;1;1;2;1;1;1;2;2;3;2;0;0;0;3;1;;1
0988;Kennedy vers Est;2020-04-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1
0744;Calvaire vers Est;2020-04-06;0;0;0;0;1;0;1;2;6;4;6;4;11;9;5;2;8;5;14;6;2;2;0;0;;1
0745;Calvaire vers Ouest;2020-04-06;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;2;4;2;8;7;2;1;0;0;;1
0787;50 Otages Vers Sud;2020-04-06;0;0;0;0;2;2;8;16;43;10;11;9;14;22;7;6;10;11;24;12;26;3;3;2;;1
0949;avenue de la Libération vers Sud;2020-04-06;0;0;0;1;0;0;1;3;1;0;2;5;5;1;1;2;1;9;4;2;1;4;2;0;;1
0986;Tremie vers Ouest;2020-04-06;0;0;0;0;0;0;0;3;6;5;3;0;0;4;3;3;2;1;5;1;4;0;0;2;;1
0989;Kennedy vers Ouest;2020-04-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1
0681;Stalingrad vers est;2020-04-06;0;0;0;0;0;0;1;3;4;2;3;4;3;9;7;6;6;12;4;8;9;4;0;3;;1
0747;Chemin de halage Tortière vers Nord;2020-04-06;0;0;0;0;0;0;0;0;5;2;1;2;6;2;0;2;4;3;2;3;4;0;1;0;;1
0669;De Gaulle sortie Clémenceau vers Nord;2020-04-06;0;0;0;0;0;1;9;9;13;8;2;4;6;7;4;2;4;11;14;3;5;8;3;0;;1
0673;Pont de Pornic vers Sud;2020-04-06;2;0;0;0;0;0;2;1;1;1;1;1;1;2;2;1;2;4;4;3;1;0;0;0;;1
0881;Madeleine vers Sud;2020-04-06;0;1;0;1;1;2;7;15;26;19;6;15;24;25;27;17;26;40;46;38;13;15;2;1;;1
0987;Tremie vers Est;2020-04-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1
0994;Ceineray vers Est;2020-04-06;0;0;0;0;0;0;2;2;7;1;3;3;10;5;4;7;10;14;13;10;7;5;0;0;;1
0847;Entrée pont Audibert vers Sud;2020-04-06;1;0;0;0;1;0;8;19;31;22;16;13;27;22;24;23;29;26;48;33;19;12;5;3;;1
0944;Magellan vers Est;2020-04-06;0;0;0;0;0;0;0;0;3;2;1;0;3;4;1;2;2;5;1;4;2;0;0;0;;1
0948;Bd Malakoff vers Est;2020-04-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1
0960;Sorinières Vers Nord;2020-04-06;0;0;0;0;0;0;0;1;1;0;2;0;0;1;0;0;1;0;3;0;1;0;0;0;;1
0977;3 Continents vers Nord;2020-04-06;0;0;0;0;0;6;0;12;12;6;3;6;4;15;0;6;0;0;18;9;6;3;0;0;;1
0727;Pont Tabarly vers Nord;2020-04-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1
0742;Philippot vers Est;2020-04-06;0;0;0;1;1;1;5;9;29;20;1;5;9;15;9;7;8;6;16;6;4;2;0;0;;1
0672;Pont de Pornic vers Nord;2020-04-06;0;0;0;0;0;1;3;4;11;8;5;7;8;6;1;3;4;11;5;5;5;0;0;1;;1
0786;50 Otages Vers Nord;2020-04-06;2;1;0;1;2;4;4;14;40;18;17;17;31;23;33;22;31;50;40;47;22;26;5;2;;1
0667;Entrée pont Audibert vers Nord;2020-04-06;0;1;0;1;1;3;18;33;71;42;18;16;28;30;27;15;16;28;29;29;19;10;2;2;;1
0668;De Gaulle vers sud;2020-04-06;0;0;0;0;2;0;4;5;18;3;3;2;4;11;6;2;9;14;9;8;7;4;2;2;;1
0664;Bonduelle vers sud;2020-04-06;0;0;0;0;2;0;3;5;17;4;7;10;5;12;9;3;7;16;15;12;5;3;2;1;;1
0890;Pont de Pirmil vers Sud;2020-04-06;2;0;1;3;2;5;13;29;55;22;12;14;27;33;36;16;26;34;44;34;26;20;3;3;;1
0947;Bd Malakoff vers Ouest;2020-04-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1
0979;3 Continents vers Sud;2020-04-06;0;0;0;0;0;3;3;18;6;6;6;12;6;9;3;3;9;6;6;9;3;3;0;6;;1
0995;Ceineray vers Ouest;2020-04-06;0;0;0;0;1;0;1;5;20;4;9;4;5;9;5;3;4;9;11;11;4;0;0;0;;1
0788;50 Otages Vers Nord;2020-04-06;0;0;0;0;2;0;2;10;23;4;5;8;23;14;15;17;21;30;27;34;28;11;2;3;;1
0996;Van Iseghem vers Nord;2020-04-06;0;0;0;0;0;0;1;1;4;2;3;1;9;7;0;1;5;10;16;4;5;0;0;0;;1
0943;Magellan vers Ouest;2020-04-06;0;0;0;0;0;0;0;0;6;2;0;1;1;3;2;0;1;4;2;2;1;0;0;0;;1
0676;Pont Willy Brandt vers Beaulieu;2020-04-06;0;0;0;1;1;1;0;0;7;0;1;0;3;1;5;4;2;8;5;2;2;2;1;0;;1
0679;Bd Malakoff vers Gare Sud;2020-04-06;0;0;0;0;0;1;0;1;1;0;4;1;4;1;1;1;3;2;2;3;1;1;0;0;;1
0680;Stalingrad vers ouest;2020-04-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1
0743;Philippot vers ouest;2020-04-06;1;0;0;1;0;1;1;3;5;8;2;10;8;13;9;7;9;10;21;12;12;5;1;0;;1
0674;Pont Haudaudine vers Sud;2020-04-06;1;0;0;0;0;0;0;0;5;8;1;5;5;6;11;3;7;9;10;10;5;3;4;0;;1
0665;Bonduelle vers Nord;2020-04-06;0;0;0;0;0;2;4;5;14;5;0;5;5;9;8;5;6;5;21;10;4;4;1;1;;1
0785;50 Otages Vers Sud;2020-04-06;2;0;0;0;3;3;11;31;70;32;18;14;25;36;30;15;22;35;31;30;24;15;4;1;;1
0664;Bonduelle vers sud;2020-04-05;1;0;0;0;0;0;4;1;3;1;1;3;5;5;7;4;4;6;8;9;7;4;3;3;;7
0676;Pont Willy Brandt vers Beaulieu;2020-04-05;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;2;1;0;1;1;0;3;;7
0682;pont Anne de Bretagne vers Sud;2020-04-05;0;0;0;0;0;1;0;1;2;0;2;2;3;2;3;3;7;5;10;4;3;1;1;0;;7
0725;Pont Tabarly vers Sud;2020-04-05;0;1;0;0;0;1;1;0;1;1;1;4;3;3;1;1;2;4;1;4;1;1;0;0;;7
0742;Philippot vers Est;2020-04-05;0;0;0;1;0;0;1;3;1;2;1;3;2;7;2;6;3;4;7;5;5;6;0;0;;7
0747;Chemin de halage Tortière vers Nord;2020-04-05;0;0;0;0;0;2;0;0;0;0;1;3;2;0;4;1;1;3;2;3;3;0;0;1;;7
0959;Sorinières Vers Sud;2020-04-05;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;;7
0979;3 Continents vers Sud;2020-04-05;0;0;0;0;0;0;0;0;3;3;3;3;3;6;0;3;0;0;3;0;6;3;0;0;;7
0672;Pont de Pornic vers Nord;2020-04-05;0;0;0;0;0;0;1;1;0;0;0;0;2;4;5;3;1;5;8;3;3;2;2;0;;7
0665;Bonduelle vers Nord;2020-04-05;0;0;0;0;0;0;0;0;0;1;1;6;5;5;4;1;3;1;13;11;4;3;2;0;;7
0666;Pont Audibert vers Sud;2020-04-05;1;0;0;0;0;0;1;2;0;3;6;2;1;5;4;4;1;2;5;4;2;4;1;0;;7
0890;Pont de Pirmil vers Sud;2020-04-05;1;2;0;0;0;2;10;11;5;6;7;15;11;14;13;12;15;17;26;11;18;14;4;2;;7
0948;Bd Malakoff vers Est;2020-04-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;7
0950;avenue de la Libération vers Nord;2020-04-05;1;0;0;0;0;0;1;1;2;1;0;2;4;6;5;4;5;3;7;5;4;3;4;0;;7
0670;Pont de Pirmil vers Sud;2020-04-05;0;0;0;0;0;0;0;2;0;1;1;2;1;2;6;3;2;3;2;2;3;3;0;0;;7
0675;Pont Haudaudine vers Nord;2020-04-05;1;0;0;0;0;1;1;4;3;1;1;2;3;2;2;7;2;4;6;9;14;2;2;2;;7
0944;Magellan vers Est;2020-04-05;0;0;0;0;0;0;0;0;0;1;0;2;2;1;1;1;0;2;1;1;2;1;1;0;;7
0947;Bd Malakoff vers Ouest;2020-04-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;7
0987;Tremie vers Est;2020-04-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;7
0785;50 Otages Vers Sud;2020-04-05;1;0;0;1;0;2;10;5;6;2;3;6;17;14;13;7;6;16;12;14;17;14;11;3;;7
0669;De Gaulle sortie Clémenceau vers Nord;2020-04-05;0;0;0;0;0;0;0;1;1;2;1;4;2;4;2;1;1;2;7;2;8;5;2;0;;7
0847;Entrée pont Audibert vers Sud;2020-04-05;1;1;0;0;0;1;7;8;5;4;2;7;10;8;18;7;8;12;10;15;11;14;12;5;;7
0945;Magellan vers Ouest;2020-04-05;0;0;0;0;0;0;0;0;2;1;0;1;1;4;5;2;3;2;4;2;0;2;3;0;;7
0946;Magellan vers Est;2020-04-05;0;0;0;0;0;0;0;0;0;0;0;5;0;3;3;4;0;0;1;2;0;2;1;1;;7
0977;3 Continents vers Nord;2020-04-05;0;0;0;0;0;3;9;3;0;0;0;0;0;0;0;0;3;0;3;0;0;0;3;0;;7
0980;Pont Tabarly vers Sud;2020-04-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;7
0994;Ceineray vers Est;2020-04-05;0;0;0;0;0;0;0;0;1;2;2;7;3;2;5;3;4;8;6;5;1;2;2;0;;7
0674;Pont Haudaudine vers Sud;2020-04-05;0;0;0;0;0;0;0;0;0;3;2;3;4;1;4;3;7;3;6;13;9;2;2;0;;7
0667;Entrée pont Audibert vers Nord;2020-04-05;1;0;0;0;0;1;12;11;9;5;7;12;12;17;9;7;11;5;23;18;20;11;4;1;;7
0996;Van Iseghem vers Nord;2020-04-05;0;0;0;0;0;1;1;0;0;3;10;4;9;4;7;5;2;1;3;3;4;1;1;0;;7
0997;Van Iseghem vers Sud;2020-04-05;0;0;0;0;0;0;0;0;0;1;7;1;7;4;1;0;2;2;3;1;3;1;1;0;;7
0880;Madeleine vers Nord;2020-04-05;0;0;0;0;0;0;7;6;5;0;2;6;9;5;15;5;4;4;5;11;6;6;5;2;;7
0949;avenue de la Libération vers Sud;2020-04-05;0;2;0;0;0;1;0;3;1;0;0;4;2;2;2;3;3;0;5;5;2;3;0;0;;7
0960;Sorinières Vers Nord;2020-04-05;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;Faible;7
